last_name,first_name,team,position,height_inches,weight_lbs,pts_per_game,rebounds_per_game,assists_per_game,salary
Mitchell,Donovan,Cleveland Cavaliers,G,73,215.0,28.3,4.3,4.4,30913750
Mobley,Evan,Cleveland Cavaliers,C,83,215.0,16.2,9.0,2.8,8478720
Monk,Malik,Sacramento Kings,G,75,200.0,13.5,2.6,3.9,9472219
Moody,Moses,Golden State Warriors,G,77,211.0,4.8,1.7,0.8,3562200
Moore Jr.,Wendell,Minnesota Timberwolves,G,77,215.0,1.4,0.6,0.6,2306520
Morant,Ja,Memphis Grizzlies,G,74,174.0,26.2,5.9,8.1,9603360
Morris,Markieff,Dallas Mavericks,F,81,245.0,3.8,2.0,0.9,1836090
Morris,Monte,Washington Wizards,G,74,183.0,10.3,3.4,5.3,9125000
Morris Sr.,Marcus,LA Clippers,F,80,218.0,11.2,4.0,1.8,16372093
Murphy III,Trey,New Orleans Pelicans,F,80,206.0,14.5,3.6,1.4,3206640
Murray,Dejounte,Atlanta Hawks,G,77,180.0,20.5,5.3,6.1,16571120
Murray,Jamal,Denver Nuggets,G,76,215.0,20.0,4.0,6.2,31650000
Murray,Keegan,Sacramento Kings,F,80,225.0,12.2,4.6,1.2,8008440
Muscala,Mike,Boston Celtics,F-C,83,240.0,6.1,3.2,0.8,3500000
Mykhailiuk,Svi,Charlotte Hornets,G-F,79,205.0,6.9,1.7,1.7,1836090
Nance Jr.,Larry,New Orleans Pelicans,F-C,80,245.0,6.8,5.4,1.8,9672727
Nembhard,Andrew,Indiana Pacers,G-F,75,191.0,9.5,2.7,4.5,2244111
Nesmith,Aaron,Indiana Pacers,G-F,77,215.0,10.1,3.8,1.3,3804360
Neto,Raul,Cleveland Cavaliers,G,74,180.0,3.3,1.0,1.6,1836090
Niang,Georges,Philadelphia 76ers,F,79,230.0,8.2,2.4,1.0,3465000
Nix,Daishen,Houston Rockets,G,76,226.0,4.0,1.7,2.3,1563518
Nnaji,Zeke,Denver Nuggets,F-C,81,240.0,5.2,2.6,0.3,2498760
Nowell,Jaylen,Minnesota Timberwolves,G,76,201.0,10.8,2.6,2.0,1930681
Ntilikina,Frank,Dallas Mavericks,G,76,200.0,2.9,1.3,1.2,2036318
Nunn,Kendrick,Washington Wizards,G,75,190.0,7.1,1.6,1.3,5250000
Nurkic,Jusuf,Portland Trail Blazers,C,84,290.0,13.3,9.1,2.9,15625000
