participant_id,minutes_spent_sleeping
20180504180584,455
20181110182334,510
20180404182370,600
20180808180152,500
20180706181870,450
20180101181844,420
20180604181466,485
20180909180967,625
20180112172404,355
20181211181183,517
20180605182297,736
20180605181429,680
20180101181505,495
20180707180638,690
20180111170725,720
20181010180746,540
20180908182366,450
20180404180862,180
20181110181500,440
20180112170037,480
20180707181548,545
20180908181414,470
20180605181868,600
20180112172206,960
20180807181225,420
20180212170905,450
20180604180937,450
20180605181818,655
20180705182506,510
20180302181880,300
20180808180782,510
20180101180735,460
20181110182035,705
20180606182355,480
20181009181968,620
20180101181208,690
20181110180507,780
20180807181682,475
20181211181428,430
20180112171293,495
20181110181481,600
20180504180955,690
20180101181735,540
20181211180035,300
20180112170833,330
20181009180942,600
20180706182264,475
20180908182138,0
20180303180048,420
20181111181985,555
20181009181335,460
20180705180532,600
20180101182105,435
20180908182457,510
20180706181232,540
20180112170087,870
20180707181926,330
20180403181447,575
20181110181682,510
20180806181435,510
20180605181388,330
20181009182231,390
20180302182175,690
20180302181648,390
20180705182227,648
20180907181352,570
20180403182042,720
20180604180510,570
20180504180912,885
20180908182012,810
20180605181359,363
20180908182345,625
20180505182129,540
20180807180513,429
20180403180736,809
20180706180818,730
20180112172144,690
20181009180974,299
20180112171367,638
20180202182452,450
20180807181842,415
20180112170962,570
20180605180667,465
20180111171072,410
20180402181472,468
20181211180631,640
20180908181050,570
20180504181867,630
20180504181933,570
20180201181828,595
20181010182346,510
20181009181189,630
20181109180867,493
20181111181082,450
20180112171716,615
20180111171228,570
20181211180603,390
20180504181756,510
20180302180591,570
20180302180938,780
20180111172434,682
20180706182044,480
20180403181331,355
20180909181072,595
20180302180791,600
20180212171090,614
20180908182159,660
20180706180066,445
20180605182360,300
20180201180820,1350
20180807180760,840
20180504181260,470
20180707181825,480
20181111181733,595
20180403181625,630
20180403181954,795
20181009182433,510
20180302181677,530
20180403182133,660
20181009182130,525
20180908181277,360
20180403180823,665
20181010181219,450
20181111180033,390
20181110181349,540
20180908181056,480
20180301181077,500
20180504181698,680
20180908180717,570
20180201180965,600
20180807182140,505
20180112171843,465
20180201181853,555
20180303181815,540
20181210180572,555
20181211182024,720
20181211181504,600
20180111170001,495
20180908182486,420
20180605180803,510
20180302180821,570
20180404182126,510
20180908182240,606
20180706181328,450
20180504181836,540
20180302182508,390
20181110182297,555
20180605180794,450
20180201180810,585
20180201181073,600
20181110182010,420
20180101181493,525
20180807182463,480
20180605181479,645
20181009180591,815
20180706182484,515
20181010182070,480
20180605181689,573
20181111181792,400
20180706180714,510
20180604180716,560
20180706182082,535
20180807181836,780
20180404180092,510
20180302180052,720
20180807181499,580
20180112171202,510
20180302182281,495
20180302180994,720
20180201181482,470
20180301182253,540
20180504181536,450
20180606180125,398
20180707180565,390
20180112170540,360
20180201181873,525
20180605181365,695
20180312172099,515
20180706180599,417
20180707182379,590
20181110180105,180
20181211182245,585
20180111172007,480
20180101182464,650
20181111180683,570
20180403181039,586
20180504181095,465
20181211181754,390
20180112171593,570
20180403180843,545
20181009180710,555
20180302181376,465
20180807181409,689
20180605181887,375
20180402180981,575
20180111171445,345
20180504180025,420
20180302182199,1155
20180112172066,540
20181211182476,465
20180807181033,360
20181110181521,275
20181010181334,540
20180909181239,460
20180908182235,540
20180807180112,370
20181110180569,480
20180403180021,585
20180504181177,555
20180111171271,910
20180908180629,690
20180403182338,705
20181009181617,536
20180112171705,570
20180212170947,540
20180302180511,510
20180907181621,410
20181211181224,565
20180907181860,720
20180606181382,420
20181211181113,645
20180504181556,658
20180706182403,418
20180112171014,718
20180707182334,550
20180807181637,600
20181211180542,720
20181110180588,480
20180201182130,480
20180908181784,645
