council_district,total_appr,finished_area,year
23,631400.0,3744.0,2009
8,87300.0,782.0,2009
27,132200.0,1676.25,2009
25,217300.0,1352.0,2009
3,264000.0,3982.0,2009
3,139300.0,2076.0,2009
28,142200.0,1879.0,2009
3,115200.0,1377.0,2009
6,475600.0,2807.0,2009
24,328300.0,1872.0,2009
30,156100.0,2691.36011,2009
26,231896.0,1443.0,2009
2,137500.0,1551.0,2009
6,117600.0,1159.0,2009
10,161500.0,1839.0,2009
34,131400.0,716.0,2009
11,184800.0,2694.0,2009
26,120700.0,1850.0,2009
7,96300.0,950.0,2009
8,145500.0,1478.0,2009
8,76400.0,948.0,2009
6,221800.0,2390.8501,2009
12,151900.0,2250.0,2009
8,124700.0,1795.0,2009
1,212900.0,2246.0,2009
15,115700.0,1386.0,2009
32,103400.0,1320.0,2009
21,58200.0,899.0,2009
11,286600.0,2738.0,2009
18,250200.0,1467.0,2009
13,102400.0,905.0,2009
24,199100.0,1050.0,2009
28,114600.0,1675.0,2009
31,159400.0,1765.0,2009
15,103100.0,1090.0,2009
13,136900.0,1944.0,2009
21,51700.0,1113.0,2009
11,121100.0,1254.0,2009
15,128500.0,1377.0,2009
29,10200.0,0.0,2009
33,124700.0,1471.0,2009
7,124400.0,1124.0,2009
16,81900.0,792.0,2009
